,university,carrer,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad abierta interamericana,licenciatura en kinesiología y fisiatría,2021-01-08,randy,williams,male,-24.0,1890,juan maria gutierrez,joshua07@yahoo.com
1,universidad abierta interamericana,licenciatura en producción de bioimagenes,2020-12-07,kelly,ellis,female,-31.0,1890,juan maria gutierrez,valerie71@hotmail.com
2,universidad abierta interamericana,licenciatura en ciencias ambientales,2020-10-04,nichole,stanley,female,32.0,8146,el rincon,dbutler@yahoo.com
3,universidad abierta interamericana,diseño de imagen y sonido,2020-09-14,keith,taylor,male,6.0,8146,el rincon,christopher44@gmail.com
4,universidad abierta interamericana,licenciatura en ciencias de la educación,2020-10-13,christine,davis,female,12.0,4715,agua verde,marvin72@yahoo.com
5,universidad abierta interamericana,agronomía,2020-12-06,jonathan,khan,male,-35.0,4715,agua verde,floreslisa@yahoo.com
6,universidad abierta interamericana,licenciatura en ciencias antropológicas,2020-11-22,kevin,weaver,male,-38.0,5423,capitan lazo,millererika@hotmail.com
7,universidad abierta interamericana,actuario,2020-09-27,diane,livingston,female,51.0,5423,capitan lazo,qhamilton@hotmail.com
8,universidad abierta interamericana,licenciatura en psicología,2021-01-30,david,oliver,male,-20.0,1836,llavallol,jorge05@yahoo.com
9,universidad abierta interamericana,licenciatura en ciencias ambientales,2020-12-18,desiree,white,female,0.0,1836,llavallol,zfowler@gmail.com
10,universidad abierta interamericana,licenciatura en artes,2020-10-12,alyssa,callahan,female,38.0,4231,albigasta,jodi34@yahoo.com
11,universidad abierta interamericana,licenciatura en artes,2020-10-12,alyssa,callahan,female,38.0,4235,albigasta,jodi34@yahoo.com
12,universidad abierta interamericana,licenciatura en terapia ocupacional,2020-10-27,robert,mann,male,16.0,4231,albigasta,mcclainlaura@hotmail.com
13,universidad abierta interamericana,licenciatura en terapia ocupacional,2020-10-27,robert,mann,male,16.0,4235,albigasta,mcclainlaura@hotmail.com
14,universidad abierta interamericana,medicina,2021-02-01,tammy,mcbride,female,46.0,4231,albigasta,mpeterson@gmail.com
15,universidad abierta interamericana,medicina,2021-02-01,tammy,mcbride,female,46.0,4235,albigasta,mpeterson@gmail.com
16,universidad abierta interamericana,licenciatura en producción de bioimagenes,2020-11-13,tracy,pope,female,-20.0,8122,la viticola,jamesgentry@hotmail.com
17,universidad abierta interamericana,licenciatura en artes,2020-12-28,lori,franklin,female,-13.0,8122,la viticola,kathrynschwartz@hotmail.com
18,universidad abierta interamericana,licenciatura en ciencia y tecnología de alimentos,2021-01-23,joel,turner,male,10.0,8122,la viticola,teresawells@gmail.com
19,universidad abierta interamericana,bioquímica,2021-01-26,shawn,fleming,male,48.0,7000,cantera aguirre,betty11@hotmail.com
20,universidad abierta interamericana,licenciatura en ciencias antropológicas,2020-10-12,bianca,wilson,female,15.0,7000,cantera aguirre,kimberlymccarthy@yahoo.com
21,universidad abierta interamericana,licenciatura en ciencias antropológicas,2020-09-21,brenda,santana,female,32.0,3363,25 de mayo,james37@hotmail.com
22,universidad abierta interamericana,licenciatura en ciencias antropológicas,2020-09-21,brenda,santana,female,32.0,4242,25 de mayo,james37@hotmail.com
23,universidad abierta interamericana,licenciatura en ciencias antropológicas,2020-09-21,brenda,santana,female,32.0,5615,25 de mayo,james37@hotmail.com
24,universidad abierta interamericana,licenciatura en ciencias antropológicas,2020-09-21,brenda,santana,female,32.0,6660,25 de mayo,james37@hotmail.com
25,universidad abierta interamericana,licenciatura en ciencias antropológicas,2020-09-21,brenda,santana,female,32.0,8201,25 de mayo,james37@hotmail.com
26,universidad abierta interamericana,medicina,2021-01-24,krista,martinez,female,-40.0,3363,25 de mayo,jerrycarson@gmail.com
27,universidad abierta interamericana,medicina,2021-01-24,krista,martinez,female,-40.0,4242,25 de mayo,jerrycarson@gmail.com
28,universidad abierta interamericana,medicina,2021-01-24,krista,martinez,female,-40.0,5615,25 de mayo,jerrycarson@gmail.com
29,universidad abierta interamericana,medicina,2021-01-24,krista,martinez,female,-40.0,6660,25 de mayo,jerrycarson@gmail.com
30,universidad abierta interamericana,medicina,2021-01-24,krista,martinez,female,-40.0,8201,25 de mayo,jerrycarson@gmail.com
31,universidad abierta interamericana,agronomía,2021-01-13,mark,frye,male,12.0,3363,25 de mayo,ramirezstephanie@gmail.com
32,universidad abierta interamericana,agronomía,2021-01-13,mark,frye,male,12.0,4242,25 de mayo,ramirezstephanie@gmail.com
33,universidad abierta interamericana,agronomía,2021-01-13,mark,frye,male,12.0,5615,25 de mayo,ramirezstephanie@gmail.com
34,universidad abierta interamericana,agronomía,2021-01-13,mark,frye,male,12.0,6660,25 de mayo,ramirezstephanie@gmail.com
35,universidad abierta interamericana,agronomía,2021-01-13,mark,frye,male,12.0,8201,25 de mayo,ramirezstephanie@gmail.com
36,universidad abierta interamericana,arquitectura,2020-09-08,monica,strickland,female,33.0,3363,25 de mayo,martinjacob@hotmail.com
37,universidad abierta interamericana,arquitectura,2020-09-08,monica,strickland,female,33.0,4242,25 de mayo,martinjacob@hotmail.com
38,universidad abierta interamericana,arquitectura,2020-09-08,monica,strickland,female,33.0,5615,25 de mayo,martinjacob@hotmail.com
39,universidad abierta interamericana,arquitectura,2020-09-08,monica,strickland,female,33.0,6660,25 de mayo,martinjacob@hotmail.com
40,universidad abierta interamericana,arquitectura,2020-09-08,monica,strickland,female,33.0,8201,25 de mayo,martinjacob@hotmail.com
41,universidad abierta interamericana,licenciatura en administración,2020-12-12,brian,berry,male,17.0,3363,25 de mayo,emma88@yahoo.com
