,university,carrer,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad nacional de la pampa,licenciatura en musicoterapia,2021-01-22,brett,roberts,male,21.0,3232,cabred,Deannalarson@hotmail.com
1,universidad nacional de la pampa,diseño industrial,2020-09-11,christopher,jones,male,93.0,3232,cabred,Vgarcia@yahoo.com
2,universidad nacional de la pampa,licenciatura en gestión de agroalimentos,2021-01-14,mckenzie,mclaughlin,female,15.0,1629,almirante irizar,Turnerjames@hotmail.com
3,universidad nacional de la pampa,ciencias veterinarias,2021-01-26,bryan,kane,male,11.0,3252,aldea san jorge,Annaglass@yahoo.com
4,universidad nacional de la pampa,licenciatura en sociología ,2020-11-06,allison,knight,female,115.0,3252,aldea san jorge,Christinewright@hotmail.com
5,universidad nacional de la pampa,licenciatura en producción de bioimagenes,2020-10-14,brittany,kline,female,101.0,3252,aldea san jorge,Plopez@gmail.com
6,universidad nacional de la pampa,farmacia,2020-12-29,chad,richardson,male,45.0,3185,colonia la marta,Jacksonmichelle@hotmail.com
7,universidad nacional de la pampa,licenciatura en ciencias de la computación,2020-09-05,michelle,morrison,female,74.0,3185,colonia la marta,Steven46@gmail.com
8,universidad nacional de la pampa,licenciatura en sociología ,2020-09-03,cassandra,odonnell,female,67.0,7245,campo sabate,Jamesthompson@gmail.com
9,universidad nacional de la pampa,ingeniería en informática,2020-11-20,jeffrey,rivera,male,102.0,8206,colonia españa,Kristaaustin@hotmail.com
10,universidad nacional de la pampa,agronomía,2020-12-22,kimberly,webb,female,1.0,8206,colonia españa,Joseph61@gmail.com
11,universidad nacional de la pampa,licenciatura en ciencias ambientales,2020-11-09,jessica,walker,female,28.0,8206,colonia españa,Rodriguezcourtney@gmail.com
12,universidad nacional de la pampa,ingeniería en informática,2020-10-23,ann,schmidt,female,77.0,2255,campo rodriguez,Michael73@gmail.com
13,universidad nacional de la pampa,licenciatura en kinesiología y fisiatría,2021-01-06,steve,henderson,male,5.0,2255,campo rodriguez,Vgoodman@gmail.com
14,universidad nacional de la pampa,actuario ,2020-09-28,gabrielle,johnson,female,25.0,3071,aguara grande,Ipage@hotmail.com
15,universidad nacional de la pampa,licenciatura en kinesiología y fisiatría,2020-10-10,eric,bradshaw,male,50.0,3071,aguara grande,Elizabeth03@yahoo.com
16,universidad nacional de la pampa,diseño de imagen y sonido,2020-10-22,samuel,tate,male,95.0,2253,campo gimenez,Gwoodard@gmail.com
17,universidad nacional de la pampa,licenciatura en gestión de agroalimentos,2020-12-16,molly,wilkerson,female,77.0,2253,campo gimenez,Vramos@gmail.com
18,universidad nacional de la pampa,medicina,2020-09-24,dawn,robertson,female,92.0,2253,campo gimenez,Stephenscatherine@hotmail.com
19,universidad nacional de la pampa,diseño industrial,2020-10-02,hannah,waters,female,62.0,2253,campo gimenez,Arellanoheather@yahoo.com
20,universidad nacional de la pampa,contador público ,2020-12-08,jamie,henderson,female,40.0,3220,arroyo manganga,Coxtanner@yahoo.com
21,universidad nacional de la pampa,contador público ,2020-11-30,ashley,snyder,female,72.0,3220,arroyo manganga,Marygreene@yahoo.com
22,universidad nacional de la pampa,licenciatura en ciencias de la educación ,2020-09-13,lisa,blair,female,26.0,3085,pilar,Rjoyce@gmail.com
23,universidad nacional de la pampa,licenciatura en sociología ,2020-11-18,steven,hill,male,9.0,2405,colonia cello,Littleronald@gmail.com
24,universidad nacional de la pampa,licenciatura en ciencias de la educación ,2021-01-20,zachary,smith,male,76.0,2405,colonia cello,Dillondaniel@gmail.com
25,universidad nacional de la pampa,bioquímica,2020-12-24,anthony,banks,male,105.0,2405,colonia cello,Thomas65@yahoo.com
26,universidad nacional de la pampa,licenciatura en musicoterapia,2020-10-19,michelle,beasley,female,84.0,3072,la lucila,Leoncindy@gmail.com
27,universidad nacional de la pampa,licenciatura en ciencia política ,2020-12-07,veronica,jones,female,48.0,3072,la lucila,Joseph43@hotmail.com
