,university,carrer,inscription_date,first_name,last_name,gender,age,location,email
0,-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,2021-01-08,Randy,williams,M,-24.0,JUAN MARIA GUTIERREZ,Joshua07@yahoo.com
1,-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,2020-10-04,Nichole,stanley,F,32.0,EL RINCON,Dbutler@yahoo.com
2,-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,2020-10-13,Christine,davis,F,12.0,AGUA VERDE,Marvin72@yahoo.com
3,-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,2020-11-22,Kevin,weaver,M,-38.0,CAPITAN LAZO,Millererika@hotmail.com
4,-universidad-abierta-interamericana,Licenciatura-en-psicología,2021-01-30,David,oliver,M,-20.0,LLAVALLOL,Jorge05@yahoo.com
5,-universidad-abierta-interamericana,Licenciatura-en-artes,2020-10-12,Alyssa,callahan,F,38.0,ALBIGASTA,Jodi34@yahoo.com
6,-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,2020-11-13,Tracy,pope,F,-20.0,LA VITICOLA,Jamesgentry@hotmail.com
7,-universidad-abierta-interamericana,Bioquímica,2021-01-26,Shawn,fleming,M,48.0,CANTERA AGUIRRE,Betty11@hotmail.com
8,-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,2020-09-21,Brenda,santana,F,32.0,25 DE MAYO,James37@hotmail.com
9,-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,2021-01-21,Tyrone,roberts,M,18.0,BARRA BONITA,Millerrandall@gmail.com
10,-universidad-abierta-interamericana,Farmacia,2020-12-20,Brandon,carter,M,36.0,ALCORTA,Reedaustin@yahoo.com
11,-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,2020-11-13,Henry,edwards,M,-26.0,EL SOMBRERITO,Garyball@gmail.com
12,-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,2020-09-17,Donna,sparks,F,45.0,ALTO DEL PUESTO,Hrodriguez@yahoo.com
13,-universidad-abierta-interamericana,Licenciatura-en-psicología,2020-09-12,Brandy,gibson,F,3.0,BALSA,Erinjackson@yahoo.com
14,-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,2021-01-04,Robert,price,M,23.0,CRAMER,Sheparddiane@hotmail.com
15,-universidad-abierta-interamericana,Ingeniería-mecánica,2020-12-14,Johnny,williams,M,-43.0,CAPITAN CASTRO,Andreaboyd@yahoo.com
16,-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,2020-12-11,Lisa,green,F,-19.0,EL DURAZNO,Hudsonbrianna@gmail.com
17,-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,2021-01-24,David,chung,M,37.0,ALARCON,Johnsonbrandon@hotmail.com
18,-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,2020-09-30,Jennifer,ramirez,F,0.0,COLONIA BARON,Woodangelica@hotmail.com
19,-universidad-abierta-interamericana,Licenciatura-en-ciencia-y-tecnología-de-alimentos,2020-11-28,Jose,white,M,-35.0,PLANCHADA BANDERITA,Jenniferbrown@yahoo.com
20,-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,2020-12-29,Drew,espinoza,M,29.0,BRITOS,Jmiller@gmail.com
21,-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,2021-01-01,Dale,smith,M,-10.0,ALUMINE,Michaeljohnson@gmail.com
