,university,carrer,inscription_date,first_name,last_name,gender,age,postal_code,email
0,Universidad nacional de la pampa,Licenciatura en musicoterapia,2021-01-22,Brett,roberts,M,21.0,3232,Deannalarson@hotmail.com
1,Universidad nacional de la pampa,Licenciatura en gestión de agroalimentos,2021-01-14,Mckenzie,mclaughlin,F,15.0,1629,Turnerjames@hotmail.com
2,Universidad nacional de la pampa,Ciencias veterinarias,2021-01-26,Bryan,kane,M,11.0,3252,Annaglass@yahoo.com
3,Universidad nacional de la pampa,Farmacia,2020-12-29,Chad,richardson,M,45.0,3185,Jacksonmichelle@hotmail.com
4,Universidad nacional de la pampa,Licenciatura en sociología ,2020-09-03,Cassandra,odonnell,F,67.0,7245,Jamesthompson@gmail.com
5,Universidad nacional de la pampa,Ingeniería en informática,2020-11-20,Jeffrey,rivera,M,102.0,8206,Kristaaustin@hotmail.com
6,Universidad nacional de la pampa,Ingeniería en informática,2020-10-23,Ann,schmidt,F,77.0,2255,Michael73@gmail.com
7,Universidad nacional de la pampa,Actuario ,2020-09-28,Gabrielle,johnson,F,25.0,3071,Ipage@hotmail.com
8,Universidad nacional de la pampa,Diseño de imagen y sonido,2020-10-22,Samuel,tate,M,95.0,2253,Gwoodard@gmail.com
9,Universidad nacional de la pampa,Contador público ,2020-12-08,Jamie,henderson,F,40.0,3220,Coxtanner@yahoo.com
10,Universidad nacional de la pampa,Licenciatura en ciencias de la educación ,2020-09-13,lisa,blair,F,26.0,3085,Rjoyce@gmail.com
11,Universidad nacional de la pampa,Licenciatura en sociología ,2020-11-18,Steven,hill,M,9.0,2405,Littleronald@gmail.com
12,Universidad nacional de la pampa,Licenciatura en musicoterapia,2020-10-19,Michelle,beasley,F,84.0,3072,Leoncindy@gmail.com
13,Universidad nacional de la pampa,Arquitectura,2020-11-12,Shaun,dunn,M,114.0,5759,Ydavis@hotmail.com
14,Universidad nacional de la pampa,Licenciatura en ciencia política ,2021-01-24,Jamie,martin,F,9.0,6333,Anthony25@gmail.com
15,Universidad nacional de la pampa,Licenciatura en ciencias geológicas,2020-12-09,Logan,clements,M,85.0,9410,Beardpatrick@yahoo.com
16,Universidad nacional de la pampa,Ingeniería mecánica,2021-01-17,Carol,myers,F,20.0,2747,Brownjason@yahoo.com
17,Universidad nacional de la pampa,Ingeniería electrónica,2020-10-27,Shannon,wilson,F,98.0,6303,Darlene98@gmail.com
18,Universidad nacional de la pampa,Licenciatura en kinesiología y fisiatría,2020-10-10,Chris,bennett,M,92.0,3122,Hlewis@yahoo.com
19,Universidad nacional de la pampa,Licenciatura en producción de bioimagenes,2020-11-28,Ethan,lewis,M,110.0,3374,Eric54@gmail.com
20,Universidad nacional de la pampa,Diseño industrial,2021-01-25,william,snow,M,16.0,5501,Ajones@hotmail.com
21,Universidad nacional de la pampa,Licenciatura en ciencias ambientales,2020-12-10,Anna,steele,F,68.0,6309,Micheal44@yahoo.com
22,Universidad nacional de la pampa,Licenciatura en sociología ,2020-09-24,Ian,flores,M,7.0,1822,Eric92@hotmail.com
23,Universidad nacional de la pampa,Licenciatura en ciencias biológicas,2020-10-20,Stephanie,miller,F,10.0,1688,Znunez@yahoo.com
